sigma,rank,ave. train error,ave. test error,ave. num for both train and test
3.2903445623126686,90,0.14769708037503998,2.293054667574835,10.5
3.2903445623126686,100,0.13771204783069962,2.8189756014035057,16.0
3.2903445623126686,110,0.10378576701602413,3.3171467714563896,13.75
3.2903445623126686,120,0.09713510703577775,3.47108909049451,19.0
3.2903445623126686,130,0.07908802304105159,3.6649147100052124,19.25
3.2903445623126686,140,0.04388907457713425,4.018885889251683,12.5
3.562247890262442,40,0.1758399778721639,0.9886937739512582,5.25
3.562247890262442,50,0.1731578759162121,0.9865494682933009,10.75
3.562247890262442,60,0.14250486270404064,1.1515211590668242,12.5
3.562247890262442,70,0.12531232357913274,1.8220382120486667,11.5
3.562247890262442,80,0.10216354089493115,2.561442015557856,9.75
3.562247890262442,90,0.1448065820671076,2.2572561417235883,14.75
3.562247890262442,100,0.12668290164159315,2.8776088840540726,16.5
3.562247890262442,110,0.09935615853571578,2.896023976319978,19.25
3.562247890262442,120,0.07351404226856503,3.9559992931388175,12.75
3.562247890262442,130,0.0776444265875286,3.58311828725679,15.5
3.562247890262442,140,0.04067337921880914,3.875761103887896,16.25
3.856620421163471,40,0.150735507470378,0.7775704776395809,5.75
3.856620421163471,50,0.14804232734339548,1.3034921844896448,7.25
3.856620421163471,60,0.15111192393812856,1.3299451831417644,12.75
3.856620421163471,70,0.14332993353869705,1.8448639203954273,12.75
3.856620421163471,80,0.12420207889792544,1.967209032740732,17.0
3.856620421163471,90,0.12119690691467207,2.701978467573608,15.5
3.856620421163471,100,0.1111317541915837,2.8754018259381424,16.5
3.856620421163471,110,0.10868713927318144,2.7674821530870224,21.0
3.856620421163471,120,0.06314537120186306,3.746669174542214,17.25
3.856620421163471,130,0.06682319473777518,3.6978497902017327,19.75
3.856620421163471,140,0.04714283081404737,4.200405689633159,18.25
4.1753189365604015,40,0.1454913184624603,1.314139434221925,5.5
4.1753189365604015,50,0.1429482811324047,1.5870282822154573,6.25
4.1753189365604015,60,0.16006552885677588,1.5466816333918403,10.75
4.1753189365604015,70,0.11161291701635473,1.7221130336687156,16.0
4.1753189365604015,80,0.1335523396074198,2.5407241425644296,14.25
4.1753189365604015,90,0.10026401515785585,3.174322027614954,14.75
4.1753189365604015,100,0.14844774301960525,2.4798466114480355,21.0
4.1753189365604015,110,0.10156224916750065,2.938372915572863,20.75
4.1753189365604015,120,0.08546886308486552,3.5379069698184433,16.25
4.1753189365604015,130,0.062067316119254465,3.755126128551371,18.5
4.1753189365604015,140,0.07217269554854722,3.07762680701323,24.5
4.520353656360243,40,0.18143742728188172,0.8325142295954207,6.75
4.520353656360243,50,0.11859943375811735,1.2135027302268226,7.0
4.520353656360243,60,0.18607876947804486,1.6895027175773658,11.25
4.520353656360243,70,0.11143591274154485,1.872465230509561,13.25
4.520353656360243,80,0.12949824768516827,2.7002694002933967,14.0
4.520353656360243,90,0.10768565104817959,3.028224929803053,15.25
4.520353656360243,100,0.12705846972240387,2.6670397011775844,19.75
4.520353656360243,110,0.12415489143073827,2.7900559762544876,21.5
4.520353656360243,120,0.08566436770618024,3.3572411071440933,21.0
4.520353656360243,130,0.05832284943746555,3.858716770559197,15.5
4.520353656360243,140,0.0686115665209677,3.978608640224469,16.75
4.893900918477494,40,0.1535901608291464,1.0650488421691882,5.25
4.893900918477494,50,0.11912229928649264,1.6011595325384353,6.75
4.893900918477494,60,0.16096013970336406,1.5417498980399431,9.25
4.893900918477494,70,0.11007905877011681,1.9950896500621138,17.5
4.893900918477494,80,0.1572991667896701,2.6148450570812,15.25
4.893900918477494,90,0.12607521990090698,2.2824947922570162,19.25
4.893900918477494,100,0.12648426201908108,2.9497646242043776,18.75
4.893900918477494,110,0.09006246049142208,3.2500063739160705,17.0
4.893900918477494,120,0.09421098546281644,3.6127884741367136,16.5
4.893900918477494,130,0.0771295071829775,3.491309553212405,19.25
4.893900918477494,140,0.06283143453799321,3.871415776277897,20.0
5.298316906283708,40,0.14951803284015663,1.3221937571208227,6.25
5.298316906283708,50,0.11859954387051,1.6084352869793115,7.75
5.298316906283708,60,0.18696154043639596,1.385690433947032,13.75
5.298316906283708,70,0.10939529760588924,2.2260422695927575,9.5
5.298316906283708,80,0.13968762158249529,2.361812582313011,13.75
5.298316906283708,90,0.10176620020415487,2.9740424780650145,13.75
5.298316906283708,100,0.12953612520921456,2.971364426425757,15.25
5.298316906283708,110,0.10548428267580476,3.095278787508483,16.25
5.298316906283708,120,0.07901641658816515,3.8032065152783554,16.75
5.298316906283708,130,0.057646621140320535,3.8070367806878442,19.0
5.298316906283708,140,0.054347717126092494,3.760507480300358,24.0
5.736152510448679,40,0.16625738860913136,1.4188279166211981,6.25
5.736152510448679,50,0.12314865715553097,1.4442023060463096,10.75
5.736152510448679,60,0.16363188398979947,1.9069565038487948,11.75
5.736152510448679,70,0.09172646850601099,2.728157031730596,11.0
5.736152510448679,80,0.14610303668884286,2.4062977687378244,14.0
5.736152510448679,90,0.09617810344069984,3.210706972917058,16.75
5.736152510448679,100,0.13071019070201112,2.358923290819935,21.75
5.736152510448679,110,0.08869227137238134,3.76950046062951,14.0
5.736152510448679,120,0.08331784906083872,3.649349851553259,20.25
5.736152510448679,130,0.049715918692896266,3.998413321958002,16.75
5.736152510448679,140,0.0488754036554719,3.7485747065926915,17.25
6.2101694189156165,40,0.15769486272608588,0.9472890689491187,6.75
6.2101694189156165,50,0.10721592337030937,1.3701713323604856,11.25
6.2101694189156165,60,0.16665598289860198,2.2189580021323363,10.0
6.2101694189156165,70,0.08604184279540257,2.7426725450053415,10.0
6.2101694189156165,80,0.12979693557280816,2.710623295582762,12.75
6.2101694189156165,90,0.09622576712184516,3.2074380863317344,15.75
6.2101694189156165,100,0.13121514230295453,2.9496493272936357,17.75
6.2101694189156165,110,0.11218670894430768,3.244081995076429,17.0
6.2101694189156165,120,0.09642166007003461,3.264295983212656,20.25
6.2101694189156165,130,0.05579610556382876,4.31464204845533,15.5
6.2101694189156165,140,0.03768061680615276,3.8457197428779253,20.5
